mal_id,title_default,title_japanese,score,rank,popularity,season,year,genres
3723,Koala Boy Kokki,コアラボーイコッキィ,6.24,8271.0,13696,spring,1984.0,Comedy
3754,Tongari Boushi no Memole,とんがり帽子のメモル,6.97,4359.0,9651,spring,1984.0,Fantasy
3761,Wanwan Sanjuushi,ワンワン三銃士,6.77,5290.0,9499,fall,1981.0,Adventure
3800,Arrow Emblem Grand Prix no Taka,アローエンブレム　グランプリの鷹,6.43,7228.0,10648,fall,1977.0,Drama
3806,Sasuga no Sarutobi,さすがの猿飛,6.43,7209.0,11235,fall,1982.0,"Adventure, Comedy, Romance, Sports"
3807,Honoo no Alpenrose: Judy & Randy,炎のアルペンローゼ・ジュディ＆ランディ,6.75,5408.0,9235,spring,1985.0,"Drama, Romance"
3808,Futari Daka,ふたり鷹,5.88,10081.0,12448,fall,1984.0,
3810,Mori no Youki na Kobito-tachi: Belfy to Lillibit,森の陽気な小人たち ベルフィーとリビット,6.3,7950.0,11883,winter,1980.0,"Adventure, Comedy, Fantasy"
3811,Hoshi no Oujisama Petit Prince,星の王子さま　プチ・プランス,6.71,5621.0,10664,summer,1978.0,Adventure
3812,Yume no Hoshi no Button Nose,夢の星のボタンノーズ,6.29,7986.0,12976,fall,1985.0,Adventure
3819,Sasurai no Taiyou,さすらいの太陽,6.37,7542.0,10860,spring,1971.0,Drama
3822,Sougen no Shoujo Laura,草原の少女ローラ,6.21,8426.0,12730,fall,1975.0,Adventure
3823,Little Lulu to Chicchai Nakama,リトル・ルルとちっちゃい仲間,6.44,7170.0,13444,fall,1976.0,"Comedy, Slice of Life"
3825,Dokaben,ドカベン,6.09,9039.0,12147,fall,1976.0,Sports
3827,Ore wa Teppei,おれは鉄兵,6.45,7106.0,11361,fall,1977.0,Sports
3834,Hoshi no Ko Chobin,星の子チョビン,6.08,9109.0,13118,spring,1974.0,"Adventure, Sci-Fi"
